LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.400, Time: 5.920262 s
         1506050 function calls (1488991 primitive calls) in 16.236 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 helpers.py:697(make_html_tags)
        1    0.000    0.000    0.011    0.011 helpers.py:638(_makeTags)
        1    0.000    0.000    0.010    0.010 inset.py:1(<module>)
      790    0.008    0.000    0.010    0.000 inspect.py:754(unwrap)
     1901    0.006    0.000    0.010    0.000 typing.py:1161(_is_dunder)
       25    0.010    0.000    0.010    0.000 {built-in method unicodedata.name}
       24    0.007    0.000    0.010    0.000 deprecation.py:126(deprecate)
        1    0.000    0.000    0.010    0.010 scanner.py:1(<module>)
      356    0.003    0.000    0.010    0.000 inspect.py:791(_findclass)
      450    0.002    0.000    0.010    0.000 __init__.py:179(sub)
        1    0.000    0.000    0.010    0.010 cm.py:32(_gen_cmap_registry)
      161    0.001    0.000    0.010    0.000 inspect.py:3097(replace)
        2    0.000    0.000    0.010    0.005 core.py:6784(srange)
        1    0.000    0.000    0.010    0.010 _constrained_layout.py:1(<module>)
        1    0.000    0.000    0.009    0.009 artist.py:1(<module>)
       31    0.001    0.000    0.009    0.000 pathlib.py:1081(glob)
     3279    0.008    0.000    0.009    0.000 inspect.py:3076(<genexpr>)
       39    0.001    0.000    0.009    0.000 colors.py:1081(from_list)
       33    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
      738    0.005    0.000    0.009    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.009    0.009 _twodim_base_impl.py:1(<module>)
        1    0.000    0.000    0.009    0.009 actions.py:1(<module>)
       12    0.005    0.000    0.009    0.001 typing.py:1855(__new__)
        2    0.000    0.000    0.009    0.005 util.py:1(<module>)
     22/3    0.002    0.000    0.009    0.003 core.py:4536(streamline)
      509    0.002    0.000    0.009    0.000 _inspect.py:97(getargspec)
      631    0.003    0.000    0.009    0.000 _compiler.py:403(_simple)
